U.S. Forest Service,,,,,
Forest Products Financial System,,,,,
Contracts - FPFS_12.1.S,,,,,
"On the July, 2020 Close",,,,,
Run Date: 08/14/2020 16:46:12 - For USFS Use Only,,,,,
"RegionCode","RegionName","ForestCode","ForestName","DistrictCode","DistrictName"
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,03,Black Hills,08,Northern Hills
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,02,Grand Valley
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,05,Norwood
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,06,Ouray
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
